PetrieLength, Size
ReflexibleManiplex([ 35, 10 ], "(r1*r0)^6*r2*r1*r0*r2,((r1*r2)^2*r0)^2")#14#140
ReflexibleManiplex([ 10, 14 ], "(r1*r0*r1*r2)^2,r2*(r1*r2*r0)^5*r1*r2*r1")#35#140
ReflexibleManiplex([ 10, 35 ], "(r1*r0*r1*r2*r0)^2,(r2*r1)^4*(r0*r2*r1)^2*r2*r1")#14#140
ReflexibleManiplex([ 35, 14 ], "((r1*r2)^2*r0)^2,r1*r2*r1*r2*(r1*r0)^5")#10#140
ReflexibleManiplex([ 14, 35 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^5*r1*r0*r1*r0")#10#140
ReflexibleManiplex([ 36, 18 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2,r1*r2*r1*r2*(r1*r0)^16")#4#144
ReflexibleManiplex([ 12, 12 ], "(r0*r1)^3*r0*r2*(r1*r0)^2*r1*r2,(r1*r2*(r1*r0)^2)^2*(r1*r2)^6,(r1*r2*r1*r0*r2)^2,(r2*r0)^2")#6#144
ReflexibleManiplex([ 12, 12 ], "r0*((r1*r2)^2*(r1*r0)^2*r1*r2)^2*r1*r0*r1,r0*(r1*r2)^2*r1*r0*(r2*r1)^3*r2,r2*r1*r0*r1*r2*(r0*r1)^2*r0")#6#144
ReflexibleManiplex([ 36, 4 ], "(r1*r0*r1*r2)^2,r1*r2*(r0*r1)^7*r0*r2*(r1*r0)^10")#18#144
ReflexibleManiplex([ 12, 12 ], "(r0*r1*r2)^6,(r0*r1*r2*r1)^2,(r2*r0)^2")#6#144
ReflexibleManiplex([ 4, 36 ], "(r1*r0*r1*r2)^2,(r1*r2)^10*r1*r0*(r2*r1)^7*r2*r0")#18#144
ReflexibleManiplex([ 18, 36 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2")#4#144
ReflexibleManiplex([ 9, 18 ], "((r1*r0)^2*r1*r2*r0)^2,(r1*r2*r0)^4,(r2*r0)^2")#4#144
ReflexibleManiplex([ 18, 9 ], "((r1*r0)^2*r1*r2*r0)^2,(r1*r0*r1*r2)^3*(r1*r0)^3,(r1*r2*r0)^4,(r2*r0)^2")#4#144
ReflexibleManiplex([ 18, 18 ], "(r1*r0*r1*r2)^7*r1*r2*r1*r0*(r1*r2)^2,(r2*r0)^2,r2*r1*(r2*r1*r0)^2*r1*r0")#4#144
ReflexibleManiplex([ 6, 39 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^2*r0*(r1*r2)^11*r0")#26#156
ReflexibleManiplex([ 26, 39 ], "(r1*r0*r1*r2*r0)^2,r1*r0*(r1*r2)^3*(r1*r0)^9,((r1*r2)^3*r0)^2")#6#156
ReflexibleManiplex([ 6, 26 ], "(r1*r0*r1*r2)^2,(r1*r2*r0)^3*(r1*r2)^10")#39#156
ReflexibleManiplex([ 26, 6 ], "(r1*r0)^4*r1*r2*r0*r1*r2*(r0*r1)^5*r2*(r0*r1)^2*r0,(r1*r0*r1*r2)^2")#39#156
ReflexibleManiplex([ 39, 6 ], "(r0*r1)^11*r2*(r0*r1)^2*r2,((r1*r0)^2*r1*r2)^2,((r1*r2)^2*r0)^2")#26#156
ReflexibleManiplex([ 39, 26 ], "((r1*r0)^2*r1*r2*r0)^2,r1*r0*r1*r2*r1*r0*r1*r2*(r1*r0)^9,((r1*r2)^2*r0)^2")#6#156
ReflexibleManiplex([ 20, 8 ], "(r1*r0)^3*r1*(r0*r1*r2)^4*(r0*r1)^2*r0,(r1*r0*r1*r2)^2")#40#160
ReflexibleManiplex([ 40, 8 ], "(r0*r1)^4*r0*r2*r1*r0*r2*(r1*r0)^4*r1,((r1*r0)^3*r1*r2)^2,((r1*r2)^2*r0)^2")#10#160
ReflexibleManiplex([ 40, 8 ], "((r1*r0)^3*r1*r2)^2,(r1*r0)^3*r2*(r1*r0)^7*r2,((r1*r2)^2*r0)^2")#20#160
ReflexibleManiplex([ 40, 4 ], "r0*r1*r2*(r0*r1)^19*r2,(r1*r0*r1*r2)^2")#40#160
ReflexibleManiplex([ 8, 20 ], "(r1*r0*r1*r2)^2,(r2*r1)^3*r0*(r2*r1)^5*(r2*r0*r1)^2*r0")#40#160
ReflexibleManiplex([ 8, 40 ], "(r1*r0*r1*r2*r0)^2,(r2*r1)^4*r0*r2*r1*r0*(r2*r1)^5")#10#160
ReflexibleManiplex([ 8, 40 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^3*r0*(r1*r2)^7*r0")#20#160
ReflexibleManiplex([ 4, 40 ], "(r1*r0*r1*r2)^2,(r1*r2)^10*r1*r0*(r2*r1)^9*r2*r0")#40#160
ReflexibleManiplex([ 10, 40 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^4*r0)^2")#8#160
ReflexibleManiplex([ 20, 40 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^4*r0)^2,(r1*r2)^4*(r1*r0)^6")#8#160
ReflexibleManiplex([ 20, 20 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2,(r2*r0)^2")#4#160
ReflexibleManiplex([ 40, 10 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*r2*(r1*r0)^4)^2,((r1*r2)^2*r0)^2")#8#160
ReflexibleManiplex([ 40, 20 ], "(r1*r0)^6*r1*r2*(r1*r0)^2*r1*r2,((r1*r0)^3*r1*r2*r0)^2,((r1*r2)^2*r0)^2")#8#160
ReflexibleManiplex([ 40, 40 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2,r1*r2*r1*r2*(r1*r0)^18,(r2*r0)^2")#4#160
ReflexibleManiplex([ 42, 6 ], "(r1*r0)^2*r1*((r0*r1)^4*r2)^2*(r0*r1)^3*r0,((r1*r0)^2*r1*r2)^2,((r1*r2)^2*r0)^2")#14#168
ReflexibleManiplex([ 6, 42 ], "(r1*r0*r1*r2*r0)^2,(r2*r1)^4*r0*r2*r1*r0*(r2*r1)^9")#14#168
ReflexibleManiplex([ 42, 14 ], "((r1*r0)^2*r1*r2*r0)^2,(r1*r2*(r1*r0)^3)^2*(r1*r0)^6,((r1*r2)^2*r0)^2")#6#168
ReflexibleManiplex([ 14, 42 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^3*r0)^2")#6#168
ReflexibleManiplex([ 21, 21 ], "r0*r2*r1*(r2*r1*r0)^2*r1,(r1*r2*(r1*r0)^2*(r1*r2)^3*r1*r0)^3,(r2*r0)^2")#4#168
ReflexibleManiplex([ 44, 22 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2,r1*r2*r1*r2*(r1*r0)^20")#4#176
ReflexibleManiplex([ 4, 44 ], "(r1*r0*r1*r2)^2,(r1*r2)^10*r1*r0*(r2*r1)^11*r2*r0")#22#176
ReflexibleManiplex([ 44, 4 ], "(r1*r0*r1*r2)^2,(r1*r0*r2*(r1*r0)^10)^2")#22#176
ReflexibleManiplex([ 22, 44 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2")#4#176
ReflexibleManiplex([ 18, 10 ], "(r0*r1)^3*r2*(r0*r1)^2*r0*(r1*r0*r2)^3*r1*r2,(r1*r0*r1*r2)^2")#45#180
ReflexibleManiplex([ 45, 10 ], "(r1*r0)^7*r2*(r1*r0)^2*r2,((r1*r2)^2*r0)^2")#18#180
ReflexibleManiplex([ 10, 18 ], "(r1*r0*r1*r2)^2,r2*r1*(r2*r1*r0)^4*(r2*r1)^3*r0*r2*r1")#45#180
ReflexibleManiplex([ 10, 45 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^2*r0*(r1*r2)^7*r0")#18#180
ReflexibleManiplex([ 45, 18 ], "r1*r0*r1*r2*(r1*r0)^6*r1*r2,((r1*r2)^2*r0)^2")#10#180
ReflexibleManiplex([ 18, 45 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^5*(r1*r0)^4")#10#180
ReflexibleManiplex([ 30, 15 ], "(r1*r0*r1*r2*r0)^2,r1*r0*(r1*r2)^3*(r1*r0)^11,((r1*r2)^3*r0)^2")#6#180
ReflexibleManiplex([ 30, 6 ], "(r1*r0)^4*r1*r2*r0*r1*r2*(r0*r1)^7*r2*(r0*r1)^2*r0,(r1*r0*r1*r2)^2")#15#180
ReflexibleManiplex([ 6, 30 ], "(r1*r0*r1*r2)^2,(r1*r2)^2*(r1*r2*r0)^3*(r1*r2)^10")#15#180
ReflexibleManiplex([ 15, 30 ], "((r0*r1)^3*r2)^2,(r1*r0)^5*(r1*r2)^3*r1*r0*(r1*r0*r1*r2)^3,(r2*r1)^2*r2*r0*r1*r2*r1*r0")#6#180
ReflexibleManiplex([ 12, 16 ], "(r1*r0*r1*r2)^2,r2*(r1*r2*r0)^6*r1*r2*r1")#48#192
ReflexibleManiplex([ 24, 8 ], "(r1*r0)^4*r1*r2*r0*r1*r2*(r0*r1*r2*(r0*r1)^2)^2*r0,(r1*r0*r1*r2)^2")#12#192
ReflexibleManiplex([ 24, 8 ], "(r0*r1)^3*r2*(r0*r1)^6*r0*r2*(r1*r0)^2*r1,((r1*r0)^3*r1*r2)^2,((r1*r2)^2*r0)^2")#12#192
ReflexibleManiplex([ 48, 16 ], "((r1*r2)^2*r0)^2,r1*r2*r1*r2*(r1*r0)^6")#12#192
ReflexibleManiplex([ 48, 16 ], "((r1*r0)^2*r1*r2*r0)^2,r1*r0*r1*r2*r1*r0*r1*r2*(r1*r0)^12,((r1*r2)^2*r0)^2")#6#192
ReflexibleManiplex([ 48, 4 ], "(r1*r0)^22*r1*r2*r0*r1*r0*r2,(r1*r0*r1*r2)^2")#48#192
ReflexibleManiplex([ 12, 8 ], "((r1*r0)^2*r1*r2)^2,(r2*r0)^2,r2*r1*r2*r0*r1*(r0*r1*r2)^2*(r0*r1)^2*r0")#6#192
ReflexibleManiplex([ 12, 8 ], "(r2*r0)^2,(r2*(r1*r0)^3)^2,(r2*r1)^2*r0*(r2*r1*r0*r1)^2*r0")#12#192
ReflexibleManiplex([ 24, 8 ], "(r1*r2*(r1*r0)^2)^2,((r1*r2)^2*r1*r0*r1*r2)^2,r2*(r0*r1)^4*r2*r0*r1*r2*r0*r1")#24#192
ReflexibleManiplex([ 24, 8 ], "(r0*r1*r2*r1*r0*r1)^2,(r0*r2*r1*r0*r1)^3,(r2*r0)^2")#24#192
ReflexibleManiplex([ 16, 12 ], "(r1*r0*r1*r2)^2,r1*r2*(r0*r1)^2*(r0*r1*r2)^5*r0")#48#192
ReflexibleManiplex([ 8, 24 ], "(r1*r0*r1*r2)^2,r2*r1*r0*(r2*r1)^9*(r0*r2*r1)^2*r0")#12#192
ReflexibleManiplex([ 8, 24 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^2*r0*(r1*r2)^10*r0")#12#192
ReflexibleManiplex([ 16, 48 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^6*r1*r0*r1*r0")#12#192
ReflexibleManiplex([ 16, 48 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^3*r0)^2")#6#192
ReflexibleManiplex([ 4, 48 ], "(r1*r0*r1*r2)^2,(r1*r2)^10*r1*r0*(r2*r1)^13*r2*r0")#48#192
ReflexibleManiplex([ 8, 12 ], "(r0*r1*r0*r2*r1)^2*r0*r2*r1*r0*r1*r2,r2*(r1*r0)^2*(r2*r1*r0*r1)^3*r0,r2*r1*r2*(r1*r2*r0)^2*(r1*r2)^2*r0*r1*r0")#6#192
ReflexibleManiplex([ 8, 12 ], "(r0*(r1*r2)^2*r1*r0*r1)^3,r2*(r0*r1)^2*r2*(r0*r1*r2*r1)^2,((r2*r1)^3*r0)^2")#12#192
ReflexibleManiplex([ 8, 24 ], "r0*r1*r2*r0*(r1*r2)^4*r0*r1*r2,(r1*r2*r0*r1*r2*(r1*r0)^3)^2,(r1*r2*r1*r0*r1*r2)^2")#24#192
ReflexibleManiplex([ 8, 24 ], "((r2*r0*r1)^2*r0*r1)^2,(r2*r0)^2,(r2*r1*r2*r0*r1)^3")#24#192
ReflexibleManiplex([ 12, 48 ], "(r1*r0*r1*r2*r0)^2,(r2*r1)^4*(r0*r2*r1)^2*(r2*r1)^2")#16#192
ReflexibleManiplex([ 12, 24 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^4*r0)^2")#8#192
ReflexibleManiplex([ 6, 48 ], "(r1*r0*r1*r2*r0)^2,(r1*r2)^2*r0*(r1*r2)^14*r0")#16#192
ReflexibleManiplex([ 12, 12 ], "r1*r0*r1*(r0*r1*r2)^2*r1*r2*r1*r0*r2,(r1*r2*r0)^4")#4#192
ReflexibleManiplex([ 12, 24 ], "((r1*r0)^3*r1*r2*r0)^2,((r1*r2)^2*r0)^2")#8#192
ReflexibleManiplex([ 24, 12 ], "(r1*r0*r1*r2*r0)^2,r1*r0*(r1*r2)^4*(r1*r0)^7,((r1*r2)^4*r0)^2")#8#192
ReflexibleManiplex([ 24, 12 ], "((r1*r0)^3*r1*r2*r0)^2,r1*r0*(r1*r0*r1*r2)^2*(r1*r0)^7,((r1*r2)^2*r0)^2")#8#192
ReflexibleManiplex([ 24, 24 ], "r1*r0*r1*(r0*r1*r2)^2*r1*r2*r1*r0*r2,(r1*r2*r0)^4,(r1*r2)^5*r1*r0*r1*r2*(r1*r0)^5")#4#192
ReflexibleManiplex([ 24, 24 ], "(r1*r0*r1*r2*r0)^2,((r1*r2)^2*r0)^2,(r2*r0)^2")#4#192
ReflexibleManiplex([ 48, 12 ], "(r1*r0)^7*r2*r1*r0*r2,((r1*r2)^2*r0)^2")#16#192
ReflexibleManiplex([ 48, 6 ], "(r1*r0)^2*r1*((r0*r1)^5*r2)^2*(r0*r1)^3*r0,((r1*r0)^2*r1*r2)^2,((r1*r2)^2*r0)^2")#16#192
