PetrieLength, Size
ReflexibleManiplex([ 108, 108 ], "(r1*r0)^22*r1*r2*(r1*r0)^2*r1*r2*(r1*r0)^28,r1*r0*(r1*r2)^2*r0*r1*r2*r1*r0*r1*r2*r0")#8#1728
ReflexibleManiplex([ 27, 54 ], "(r1*r2*(r0*r1)^2*r0)^2,r1*r2*(r1*r0)^2*(r2*r1)^4*r0*r2*r1*r0,(r2*r0*r1)^8,(r2*r0)^2")#8#1728
ReflexibleManiplex([ 54, 27 ], "(r0*r2*r1)^8,r1*r0*(r1*r2)^2*(r0*r1)^4*r2*r0*r1*r2,(r1*r0*(r2*r1)^2*r2)^2,r1*r2*(r1*r0)^24*(r1*r2)^2")#8#1728
ReflexibleManiplex([ 216, 216 ], "((r1*r0)^2*r1*r2*r0)^2,(r1*r0*r1*r2)^3*(r1*r0)^48,((r1*r2)^3*r0)^2")#8#1728
ReflexibleManiplex([ 24, 24 ], "r0*r1*r0*(r1*r0*r2)^3*r1*r2*r1*(r2*r1*r0)^3*r2*r1,r0*r2*(r1*r0)^3*r1*r2*r1*r0*(r2*r1)^4*r0*r1,(r1*r0*r1*r2)^3,r2*(r0*r1)^3*(r0*(r1*r2)^2)^2*r1*r2*r1*r0*r1,(r2*r0)^2")#24#1728
ReflexibleManiplex([ 216, 216 ], "((r1*r0)^2*r1*r2*r0)^2,((r1*r2)^3*r0)^2,(r1*r2)^3*(r1*r0)^51")#8#1728
ReflexibleManiplex([ 24, 24 ], "r0*r1*r0*r2*(r1*r0)^5*(r1*r2*r0)^2*(r1*r2)^2,r0*r1*r0*r2*r1*r0*r1*r2*r1*((r2*r1)^2*r0)^2*r1*r0*r1,((r0*r2*r1)^2*r2*r1*r0*r1)^3,(r1*r0*r1*r2)^6,r1*r0*r2*(r1*r2*(r1*r0)^2)^2*r1*(r2*r1*r0)^2,r1*(r2*(r1*r0)^2)^2*r1*r0*r1*r2*r1*r0*(r2*r1)^2*r2,(r2*r0)^2")#24#1728
ReflexibleManiplex([ 216, 216 ], "((r1*r0)^2*r1*r2*r0)^2,(r1*r2*r0)^4,(r1*r2)^3*(r1*r0)^105,(r2*r0)^2")#4#1728
ReflexibleManiplex([ 216, 216 ], "((r0*r1)^54*(r2*r1*r0*r1)^2*r0*(r1*r0*r1*r2)^2*(r1*r0*r1*r2*r1*r0)^2*(r1*r0)^4*r1*r2*r1*r0*r1*r2*(r1*r0*r1*r2*r1*r0)^2*r1*r2*((r1*r0)^2*r1*r2*r1*r0)^4*(r1*r0*r1*r2*(r1*r0)^2)^2*r1*r0*r1)^2,((r1*r0)^52*r1*r2*r1*r0)^2*r1*r0*((r1*r0)^4*r1*r2)^3*(r1*r0*r1*r2*r1*r0)^2*(r1*r0)^2*r1*r2*(r1*r0)^14*r1*r2*(r1*r0)^3*r1*r2*((r1*r0*r1*r2)^2*r1*r0)^2*r1*r0*r1*r2*(r1*r0)^51*r1*r2,(r1*r0)^2*(r2*r1)^2*r0*r2,(r2*r0)^2")#4#1728
ReflexibleManiplex([ 54, 54 ], "r0*r1*r2*r1*r0*r1*r2*(r0*r1)^4*r2*r0*r1,(r1*r0*r2)^4")#4#1728
ReflexibleManiplex([ 8, 24 ], "(r0*(r1*r2)^5*r1)^2,r0*r2*(r1*r0*(r2*r1)^2*r0*r1*r0)^2*r1*r2*r1*r0*(r2*r1)^2,(r1*(r2*r1*r0)^2)^6,(r1*r2)^2*r1*r0*(r2*r1*r0*r1)^2*(r2*r1)^3*r0*r1*r0*r2*r1*r0,r2*(r1*r0)^2*(r2*r1*r0*(r2*r1)^2)^2*r0*r1*r2*r1*r0")#12#1728
ReflexibleManiplex([ 8, 24 ], "(r0*r1*r2*(r0*r1)^2*(r2*r1)^3)^2,(r1*r2)^4*(r0*r1)^2*r2*r0*(r1*r2)^4*r1*r0*r1*r2,(r2*(r1*r0)^3*r1)^2,(r2*r1*r0*r1)^2*r0*(r2*r1*r0*r1)^3*r2*(r0*r1)^2,((r2*r1)^2*(r0*r1)^2*r2*r1)^2*r2*r0*r1*r2*r1*r0")#12#1728
ReflexibleManiplex([ 16, 12 ], "(r0*r1)^2*r0*r2*(r1*r0*r2*r1*r0)^2*(r1*r2)^2*r1*r0*r1*r2,r0*(r1*r2*r1*r0*r1*r2)^2*r1*r2*r0*(r1*r2)^3,(r1*r2*r1*r0*(r1*r2)^2)^2*r1*r0*(r2*r1)^2*r2*r0*r1*r2,(r2*(r1*r0)^3*r1)^2")#48#1728
ReflexibleManiplex([ 24, 24 ], "((r0*r1)^3*r2*r1)^2,(r0*(r1*r2)^2*r1*r0*r1)^2,r0*(r1*r2*r1*(r2*r1*r0)^2*(r1*r0)^2*r2)^2*r1*r2*r1*(r2*r1*r0)^2*r1*r0*r1*r2,(r1*r0*(r1*r2)^5)^2")#12#1728
ReflexibleManiplex([ 24, 24 ], "(r1*r0*r1*r2*(r1*r0)^2)^2,r1*r2*(r1*r2*r0)^3*(r1*r2*r0*(r1*r2)^3)^2*r1*r2*(r1*r0)^2*r2*r1*r0,((r1*r2)^2*(r1*r0)^2)^2,r2*r0*((r1*r2)^3*(r1*r0)^2*r2)^2*r1*r2*(r1*r0)^2*(r2*r1)^2*r0*r1,(r2*r1*r2*r0*r1*r2*(r0*r1*r2*r0*r1)^2)^2,(r2*r1*r2*r0*r1*r2*r1)^4")#12#1728
ReflexibleManiplex([ 48, 12 ], "(r0*r1*r2)^2*((r0*r1)^2*r2*r0*r1)^2*(r2*r1)^2,r0*(r1*r2*r1*r0*r1*r2)^2*r1*r2*r0*(r1*r2)^3,(r2*(r1*r0)^3*r1)^2,(r2*r1*r0*(r1*r2)^4*r1)^2")#48#1728
ReflexibleManiplex([ 24, 24 ], "((r1*r0)^2*r1*r2*r1*r0)^2,r1*r2*r1*r0*r2*(r1*r0*(r1*r2)^2*r0)^5*r1*r0,((r1*r2)^3*r1*r0*(r1*r2)^2)^2,(r2*r1*r0)^4")#4#1728
ReflexibleManiplex([ 24, 24 ], "r0*(r1*r0*r2)^3*r1*r2,r1*r2*(r0*r1)^2*r2*r0*r1*r0*(r1*r2*r1*r0*(r1*r2)^2)^2,r1*r2*r1*(r2*r1*r0)^2*(r1*r2)^4*(r1*r0)^2*(r2*r1)^4*r2,(r2*r0)^2,(r2*(r1*r0)^3*r1)^2,(r2*r1)^2*r0*(r1*r2)^2*r0*((r1*r2)^2*r1*r0*r2)^2*r1*r0*(r1*r0*(r1*r2)^2)^2*r0*(r1*r2)^2*r1")#4#1728
ReflexibleManiplex([ 48, 12 ], "r0*(r1*r2*r1*r0*r1*r2)^2*r1*r2*r0*(r1*r2)^3,(r1*r2*r0)^2*r1*r0*r1*(r0*r1*r2)^2*(r0*r1)^2*(r2*r1)^2*r0,(r2*(r1*r0)^3*r1)^2,(r2*r1*r0*(r1*r2)^4*r1)^2")#16#1728
ReflexibleManiplex([ 24, 8 ], "((r0*r1)^3*r0*r2*r1)^2,r0*(r1*r0*r2)^2*(r1*r0*r2*r1*r0)^2*r1*r2*r1*r0*(r1*r2)^2*r0*r1*r0*r2*r1,(r0*r1*r2)^2*r0*((r1*r0)^2*r1*r2)^2*r1*r0*r1,(r1*r2*r0)^12,(r1*r2*r1*r0*(r1*r2)^2)^2,(r2*r0)^2")#12#1728
ReflexibleManiplex([ 24, 8 ], "r0*r1*(r0*r1*r2)^4*(r1*r2)^2*r0*r1*r2*r1*(r0*r1*r2)^2*r1*r2,(r0*r1*r0*(r2*r1)^2)^6,(r1*r0*r1*(r0*r1*r2)^2*r1*r0)^2,(r1*r0*(r1*r2)^3)^2,((r1*r2*r0)^2*r1*r2*r1*r0*r1*r2*r0*r1*r0)^2")#12#1728
ReflexibleManiplex([ 48, 16 ], "r0*r1*r2*(r1*r0)^4*(r2*r1)^2*(r0*r1)^3*r2,r1*r2*(r1*r2*r0)^2*r1*r2*(r1*r0*r1*r2*r1*r0)^2,(r2*r0)^2")#12#1728
ReflexibleManiplex([ 48, 16 ], "r0*(r1*r0*r2)^5*r1*r2,(r1*r0*r2*(r1*r0)^3)^2,((r1*r2)^2*r0*(r1*r2)^2)^2,(r1*r2)^3*((r1*r2)^2*(r1*r0)^2)^3*r1*r2,(r2*r1*r0*r1*r2*(r0*r1)^2*r2*r1)^2,((r2*r1*r0*r1)^2*r0*r2*r1)^2")#6#1728
ReflexibleManiplex([ 24, 12 ], "r1*r2*(r1*r0)^3*r2*r1*(r2*r1*r0)^2*r1*r0,(r2*(r0*r1)^4)^2,r2*r0*r1*r2*(r1*r0)^2*r1*r2*r1*r0*r2*(r1*r2*r0*r1*r2*(r1*r0)^2*(r1*r2)^2*r0)^2*r1,r2*(r1*r2*r0*r1*r0)^2*r1*r2*r1*r0*r2*r1*(r2*(r1*r0)^2)^2*r2*r1*r0,((r2*r1)^4*r0)^2")#24#1728
ReflexibleManiplex([ 24, 12 ], "(r0*r1)^2*r2*r1*r0*r1*(r0*r1*r2)^2*r1*r2*r0*r1,(r0*r1*r0*r2*(r1*r0)^2*r1)^2,((r2*r1*r0*r1)^3*r0)^2,(r2*r1*r2*r0*r1*r2*(r1*r0)^2*r1*r2*r1*r0)^3")#24#1728
ReflexibleManiplex([ 12, 12 ], "((r0*r1)^2*r2*(r0*r1)^2)^2,r1*r0*r1*(r0*r1*r2)^2*r1*r2*(r0*r1)^3*r2,(r1*r0*r2)^3*r1*r0*r1*r2*(r1*r2*r0)^3*r1*r0*(r1*r2)^2*r0*r1*r2*(r1*r0)^2*r1*r2*r1*r0*r2,r2*(r1*r2*r0)^11*r1*r0,(r2*r1*(r2*r1*r0)^2*r2*r1)^2")#12#1728
ReflexibleManiplex([ 24, 24 ], "(r0*r1)^2*r0*(r1*r2)^4*r1*r0*r1,(r0*r1*r2*r1)^2*r2*(r0*r1*r2*(r0*r1)^2*r2*r1)^2*r2,(r1*r2*r1*r0)^6,r2*r0*r1*r2*r1*(r0*r1*r2)^2*(r1*r2*r0*r1*r2*r1*r0*r1*r2*r0)^2*r1*r0*r1,r2*(r1*r2*r0)^11*r1*r0")#12#1728
ReflexibleManiplex([ 12, 24 ], "(r0*r1*r2)^3*r1*r0*r1*r2*(r0*r1)^2*r2*(r1*r0)^2*r2*r1*r0*(r1*r2)^2*r1*r0*r1,r0*r1*r2*r1*(r2*r1*r0)^2*r1*r0*(r2*r1)^3,((r2*r1)^3*r0*r2*r1)^2")#24#1728
ReflexibleManiplex([ 24, 24 ], "(r0*r1*r2)^12,r2*r0*r1*r2*r0*(r1*r2*r0*r1*r2)^2*((r0*r1)^2*r2)^2*(r0*r1*r2)^2*r1,(r2*r1)^4*(r0*r1)^4")#12#1728
ReflexibleManiplex([ 12, 24 ], "(r0*r1*r2*r0*(r1*r0*r1*r2)^2*r1)^2,(r0*(r1*r2)^2*r1)^2*r0*r2*r1*r0*r1*r2,(r1*r0)^3*((r1*r0)^3*r1*r2)^2*r1*r0,((r1*r0)^2*r1*r2*r0*r1*r0)^2,((r2*r1)^3*r2*r0*r1)^2")#24#1728
ReflexibleManiplex([ 48, 48 ], "((r0*r1)^4*r2)^2,(r1*r2*r0)^12,r1*r2*(r1*r2*r1*r0)^2*r1*r0*r1*r2*(r1*r2*r0)^2*r1*r0")#12#1728
ReflexibleManiplex([ 48, 48 ], "((r0*r1)^3*r2*r0*r1)^2,((r1*r2)^3*r0*r1*r2)^2,(r2*r0*r1)^6,(r2*r1*r0*(r1*r2)^4*(r1*r0)^2*r1)^2")#6#1728
ReflexibleManiplex([ 8, 24 ], "(r0*r1*r2)^5*r1*r0*r1*r2*(r1*r2*r0)^4*r1,(r1*r0*r2)^12,r1*(r2*r1*r0)^2*r2*((r1*r2)^2*r1*r0)^2*r1*r2,((r1*r2)^3*r0*r1*r2)^2,(r2*r0)^2,(r2*(r1*r0)^3*r1)^2")#12#1728
ReflexibleManiplex([ 8, 24 ], "(r0*r1*r2)^12,(r1*r2*(r1*r0)^2*(r2*r1)^2*r2)^2,(r2*(r1*r0)^3*r1)^2,(r2*(r1*r0)^2*r2*r1)^2*r0*r1*r0*(r1*r0*r2)^3*r1*r2*r1*r0,r2*(r1*r2*r0)^2*r1*(r0*r1*r2*(r1*r2*r0)^2*r1*r2)^2*r1*r0*r1*r2*r0*r1")#12#1728
ReflexibleManiplex([ 16, 48 ], "(r1*r2*r0*r1*r2*r1*r0)^6,r1*r2*(r1*r2*r1*r0)^2*(r1*r2*r0)^2*r1*r0*r1*r2*r1*r0,((r2*r1)^2*r0*r1*r0*(r2*r1)^2)^2")#12#1728
ReflexibleManiplex([ 16, 48 ], "((r0*r1)^3*r2*r0*r1)^2,(r1*r0*r2)^6,((r1*r2)^3*r0*r1*r2)^2,(r2*r0)^2")#6#1728
ReflexibleManiplex([ 24, 24 ], "((r0*r1)^4*r2*r1*r0*r1)^2,r1*r0*r1*r2*(r0*r1)^9*(r2*(r0*r1)^2)^2*r0*r1*r2*r0,(r1*r0*r2*(r1*r0)^3*(r2*r1)^2*r2)^3,((r1*r2)^2*(r0*r1)^2*(r0*r1*r2)^2*r0)^2,((r1*r2)^2*(r1*r0)^2)^2,((r1*r2)^3*r1*r0)^2,(r2*r0)^2")#12#1728
ReflexibleManiplex([ 24, 24 ], "((r0*r1)^3*r2*r1)^2*(r0*r1)^2*r2*(r0*r1)^2*r2,((r1*r0)^5*r2*r1*r0)^2,(r1*r2*(r1*r0)^2*r1*r2)^2,(r2*r0)^2,((r2*r1*r0*r2*r1)^2*r0*r1*r0*r1*r0)^2,((r2*r1)^3*r0*r1)^2")#12#1728
ReflexibleManiplex([ 12, 48 ], "(r0*r1)^2*(r0*(r1*r2)^2*r0*r1*r2)^2*(r1*r2)^2,(r0*(r1*r0*r2)^3*r1)^2,r1*r2*((r0*r1)^2*r2*r1)^2*r2*(r0*r1)^2*r2*(r1*r0*r2*r1*r0)^2*(r1*r0)^2*r1*r2,r1*r2*r1*(r0*r1*r2*r1*r0*r1*r2)^2*(r0*r1)^5*r2*r1*r0,((r1*r2)^3*r1*r0)^2,(r2*r0)^2")#48#1728
ReflexibleManiplex([ 24, 8 ], "r1*r2*(r1*r0*r1*r2*r1*r0)^2*r1*r0*r2*(r1*r0)^3*(r2*r1)^3*r2,(r1*r2*r1*(r2*r1*r0)^2*r1*r2)^2,r2*r0*(r1*r2)^2*(r1*r2*(r0*r1)^3*r0)^2*(r1*r0)^2*r1*r2*r0*r1,(r2*r0)^2,(r2*r1)^2*r0*(r1*r2)^2*r1*r0*(r2*(r1*r0)^3*r1)^2*r0*r1*r0")#12#1728
ReflexibleManiplex([ 24, 8 ], "(r0*r1)^6*r2*r0*(r1*r2)^3*r0*(r2*r1)^2*(r2*r1*r0)^2*(r1*r0)^2*(r2*r1)^3*r2,(r0*r1)^2*r2*r1*(r2*r1*r0)^2*(r1*r0*r2*r1*r0*r1*r2)^2*r1*r2*(r1*r2*r1*r0)^2*(r2*r1)^2,(r0*r1*r2*(r0*r1*r2*r1)^2*r0*r1*r2)^2,r1*r0*r1*(r0*r1*r2)^3*r1*r0*r1*r2*(r0*r1)^2*r0*r2*r1*r0*r1*(r2*r1*r0)^3*(r1*r0)^2,r1*r0*r2*(r1*r2*r1*r0*(r1*r2)^2*r1*r0)^2*(r1*r0)^2*(r2*r1)^3*r0,(r2*r0)^2,((r2*r1)^3*r2*r0*r1)^2")#12#1728
ReflexibleManiplex([ 12, 16 ], "(r1*r0*r1*r2*r1*r0)^2*r1*r0*r2*(r1*r0)^3*r2,(r1*r2*(r1*r0)^5)^2,((r1*r2)^3*r1*r0)^2,(r2*r1*r2*r0*r1)^2*r2*(r1*r0)^2*(r1*r2)^2*r0*r1*r2*r1*r0")#48#1728
ReflexibleManiplex([ 24, 24 ], "(r0*r1)^2*r2*r1*r0*(r2*r1)^2*(r0*r1)^3*r2*r0*r1*((r2*r1)^2*r0)^2*r1*r0*(r1*r2)^2,(r0*r1*r2)^4,((r1*r0)^4*r1*r2*r1*r0)^2,((r1*r2)^3*r1*r0)^2,(r2*r0)^2")#4#1728
ReflexibleManiplex([ 24, 24 ], "r0*r1*r2*(r1*r0*r1*r2*(r1*r0)^2)^2*r1*r0*(r2*r1)^2*r2,(r0*(r1*r2)^3*r1)^2,r1*r0*r1*r2*r1*r0*r2*(r1*r0)^5*(r1*r2)^2*(r0*r1)^4*r0,(r2*r1*r0)^4")#4#1728
ReflexibleManiplex([ 12, 48 ], "(r1*r2*(r1*r0)^5)^2,((r1*r2)^3*r1*r0)^2,r2*(r1*r0*r1*r2*r1*r0)^2*r1*r0*r2*(r1*r0)^3,((r2*r1)^2*r2*r0*r1)^2*r2*r1*r2*(r0*r1)^3*r0")#16#1728
ReflexibleManiplex([ 36, 24 ], "((r1*r0)^2*r2)^5*(r1*r0)^8*r2,(r1*r0*r1*r2*r1*r0)^2,(r1*r0*r2*r1*r0*(r1*r2)^3)^2")#18#1728
ReflexibleManiplex([ 24, 36 ], "((r1*r0)^4*r2)^2,((r1*r2*r0*r1*r2)^2*r1*r2*r0*r1*r0)^2,(r1*r2*r1*r0*r1*r2)^2,(r1*r2)^6*r1*r0*r2*((r1*r2)^2*r0)^5*r1*r2,(r2*r0)^2")#18#1728
ReflexibleManiplex([ 18, 36 ], "((r1*r0)^2*r1*r2)^2*(r1*r2)^2*(r1*r2*r1*r0)^3*(r1*r0)^3*r1*r2,(r1*r0*r1*r2*(r1*r0)^2*r2*r1*r0)^2,((r1*r2)^2*r0*r1*r2)^2,(r2*r0)^2,(r2*r1*r0)^2*(r2*r1)^2*r0*r1*r2*r0*(r1*r0*r2)^2*r1*r2*(r1*r0)^2")#24#1728
ReflexibleManiplex([ 36, 18 ], "r0*(r1*r0*r2)^2*(r1*r2*r0)^2*r1*r0*r1*r2*r1*r0*(r2*r1)^2*r0*r1*r2,(r1*r2*(r0*r1)^2*r0)^2,(r1*r2*r1*r0*r1*r2)^6")#24#1728
ReflexibleManiplex([ 36, 36 ], "((r0*r1)^3*r2)^2,(r1*r0*(r1*r2)^4)^2*(r1*r0*(r1*r2)^3)^2*((r1*r2)^2*(r1*r0)^2)^4*(r1*r0)^2,(r1*r0*r2*r1*r2)^4,(r2*r0)^2,((r2*r1*r0)^2*r1*r0*r2*r1)^2")#12#1728
ReflexibleManiplex([ 36, 36 ], "(r0*r1)^4*r0*(r2*r1)^2*r0*(r1*r2)^2,(r1*r0*r2*r1*r0)^4,((r1*r2)^3*r0)^2,(r1*r2)^15*r1*r0*(r1*r0*r1*r2)^2*r1*r2*(r1*r0)^2*((r1*r0)^2*r1*r2)^2*(r1*r0*r1*r2)^2*(r1*r0)^3")#12#1728
ReflexibleManiplex([ 12, 24 ], "(r1*r2*(r1*r0)^5)^2,(r2*r0)^2,r2*(r1*r0)^2*(r2*r1*r0*r1*r2*r1)^2*r2*(r1*r0)^2,(r2*r1*r0)^6,r2*r1*r2*(r0*r1)^3*(r2*r1*r0)^3*r1*r0*r1*r2*r1*r0,(r2*r1)^3*r0*(r2*r1)^3*r2*(r0*r1)^2*r2*(r1*r0)^3*r1")#6#1728
ReflexibleManiplex([ 24, 12 ], "r0*r1*r2*(r1*r2*r1*r0)^2*(r2*r1)^3*r0*(r1*r2)^2,r1*r0*r1*(r0*r1*r2)^2*(r0*r1)^2*(r2*r1)^2*(r0*r1)^2*r2*(r1*r0*r1*r2*r0)^2*(r1*r0)^3*r1*r2,(r1*r0*r1*r0*(r2*r1*r0*r1)^2*r2)^2*r1*r0*(r1*r0*r1*r2)^2*r1*r0,(r2*r0)^2,(r2*r1*r0)^6")#6#1728
ReflexibleManiplex([ 36, 18 ], "(r0*(r1*r2)^3*r1*r0*r1)^2*(r2*r1)^4*(r0*r1*r2*r1)^2,(r1*r0*r1*(r0*r1*r2)^2)^2,(r1*r0*r2*r1*r2)^4,(r2*r0)^2,(r2*r1*r0*(r1*r0*r2)^3*(r1*r0)^2)^2,(r2*r1)^4*r0*(r2*r1*r0*r1)^2*r0")#12#1728
ReflexibleManiplex([ 36, 18 ], "(r0*r1*r2*r0*r1)^4,(r1*r0)^4*(r1*r2)^2*(r1*r2*(r1*r0)^2)^2*(r1*r0)^4*(r1*r2)^2,r1*r0*r2*(r1*r2*r1*r0)^2*r2*(r1*r0)^3,(r1*r2*(r0*r1)^2*r2*r1*r2)^2,(r1*r2*r1*(r0*r1*r2)^2)^2,((r1*r2)^5*r1*r0*r2)^2,((r2*r1*r0*r2*r1)^3*r0)^2")#12#1728
ReflexibleManiplex([ 24, 24 ], "(r0*r2*(r1*r0)^5*r1)^2,(r1*r0)^2*(r1*r0*(r1*r2)^2*r1*r0*r1*r2)^2*(r1*r2*r1*r0)^5*r1*r0*r1*r2,(r2*r0)^2,(r2*r1)^2*(r0*r1*r2)^2*(r1*r0)^2,(r2*r1)^6*r2*r0*(r1*r2)^5*r1*r0")#12#1728
ReflexibleManiplex([ 12, 12 ], "r1*r2*r1*r0*(r1*r0*r1*r2)^3*(r1*r0)^2*(r1*r2)^2,(r2*r0)^2,r2*(r1*r0)^2*r1*r2*(r0*r1)^3*r0,(r2*r1*r0)^2*(r2*r1)^2*r0*r1*(r2*r1*r0)^5*r2*(r1*r2*r1*r0)^2,(r2*r1)^4*r2*(r0*r1)^2*r2*(r1*r0)^2")#12#1728
ReflexibleManiplex([ 48, 48 ], "(r0*r2*r1)^6,(r1*r0*r1*r0*r1*(r0*r1*r2)^2)^2,((r1*r0)^2*r2*r1*r2)^2,r2*r1*r2*(r1*r0)^8*r1*r2*r1*r0*(r1*r2*r1*r0*r1*r2)^2*(r1*r2*(r1*r0)^2)^3*(r1*r0)^4*r1*r2*r1*r0*r1*r2*(r1*r0)^8*((r1*r2)^2*r1*r0)^2*r1")#6#1728
ReflexibleManiplex([ 12, 12 ], "(r0*r1)^4*r0*(r2*r1)^2*r0*(r1*r2)^2,(r0*r1)^2*r2*r1*r0*(r1*r0*r2)^2*(r1*r0*r1*r2*r1*r0)^3*r1*r0*r2*r1*r2,((r1*r2)^3*r0)^2,(r1*r2)^6*(r1*r0)^6,(r2*r0)^2")#12#1728
ReflexibleManiplex([ 24, 24 ], "(r0*r1)^4*r0*r2*r1*r0*r1*((r0*r1)^4*r0*r2*r1*r0*r1*r2)^2*(r0*r1)^2*r0*r2*(r1*r0)^3*r1,(r2*r1*r0*(r1*r2)^2*r1*r0*r1)^2*r2*r1*r2*r1,r2*r1*r2*r0*(r1*r2)^2*(r1*r2*r0)^7*(r1*r0)^2*r1*r2*r0*r1*r0,(r2*r1)^2*(r0*r1*r2)^2*(r1*r0)^2")#12#1728
ReflexibleManiplex([ 18, 36 ], "r0*(r1*r2*r1*r0*r2)^3*r1*r2*r1*r2,r0*(r1*r2)^4*r0*(r1*r0*r1*r2)^2,(r1*(r0*r1*r2)^2*r1*r0)^2,(r2*r1*r0*(r1*r0*r2)^3*(r1*r0)^2)^2,(r2*r1*r2*(r0*r1)^3)^2")#12#1728
ReflexibleManiplex([ 18, 36 ], "(r1*r0)^2*r2*(r1*r2*r1*r0)^2*r2*(r1*r0)^2,(r1*r0*r2*r1*r0)^4,(r1*r2*r0*r1*r2*r0*(r1*r2*r0*r1*r2)^2)^2,(r2*r1)^3*(r0*r1*r2)^2*r1*r2*(r1*r0)^2")#12#1728
ReflexibleManiplex([ 9, 18 ], "r2*r0*(r1*r2)^4*(r0*r1)^2*r2*r1*r0*r1,(r2*r0)^2,r2*r1*r0*(r1*r0*r1*r2)^2*(r1*r0)^2*r1*r2*r1,r2*((r1*r2)^2*r0)^7*r1*r2*r1*r0")#24#1728
ReflexibleManiplex([ 18, 9 ], "(r1*r0)^4*(r1*r2)^3*(r1*r0)^2,r1*r0*r2*(r1*r2*r1*r0)^2*r2*(r1*r0)^3,((r1*r2)^2*r1*r0*r2)^2,(r2*(r1*r0)^2)^8")#24#1728
ReflexibleManiplex([ 36, 24 ], "(r1*r0)^7*(r1*r2*r0)^2*r1*r0*r1*r2*(r0*r1)^7*r2*r0,(r1*r2*r0*(r1*r2)^2*r0)^2,((r1*r2)^2*r1*r0*r1*r2)^2")#18#1728
ReflexibleManiplex([ 36, 24 ], "(r1*r0)^7*(r1*r2*r0)^2*r1*r0*r1*r2*(r0*r1)^7*r2*r0,r1*r2*(r1*r0)^2*r1*r2*r1*r0*(r2*r1)^3*r0*r2,((r1*r2)^2*r1*r0*r1*r2)^2")#36#1728
ReflexibleManiplex([ 36, 24 ], "((r1*r2*r0)^2*r1*r0)^6,(r2*r0)^2,(r2*r1*r0*r1*r2*r1)^2*r2*r0*r1*r2*r0*r1,(r2*r1*r2*(r0*r1)^2*(r2*r1)^2)^2")#36#1728
ReflexibleManiplex([ 24, 36 ], "((r1*r0)^3*r1*r2)^2,(r1*(r0*r1*r2)^2*r0)^2,r1*r2*r0*(r1*r2)^14*(r0*r1*r2)^2*r1*r2*r0")#18#1728
ReflexibleManiplex([ 24, 36 ], "((r1*r0)^3*r1*r2)^2,r1*((r0*r1)^2*r2)^2*r1*r2*r1*r0*r1*r2*r0,r1*r2*r0*(r1*r2)^14*(r0*r1*r2)^2*r1*r2*r0")#36#1728
ReflexibleManiplex([ 24, 36 ], "((r1*r0)^3*r1*r2*r0)^2,(r1*r0*r1*r2*r1*r0)^2*r1*r0*r2*r1*r0*r2,(r1*r2)^3*r0*(r1*r2)^15*r0")#36#1728
ReflexibleManiplex([ 18, 36 ], "r1*r2*(r1*r2*r0)^2*r1*r0*(r1*r2)^4*(r1*r0*r1*r2)^3*r1*r2*(r1*r0)^2*(r1*r2)^3,(r2*r0)^2,(r2*(r1*r0)^3)^2,r2*r1*r2*r0*r1*r0*(r1*r2)^4*r1*r0*r1*r2*(r0*r1*r2*r1)^2*r0*(r1*r0*r2)^2*r1*r2*r1,(r2*r1)^4*r2*r0*r1*r2*r1*(r0*r1*r2)^2*r1*r2*(r0*r1)^2*r2*r1*r0")#24#1728
ReflexibleManiplex([ 18, 18 ], "(r1*r0*(r1*r2)^2*r0*r1*r0)^2,(r1*r0*r2*r1*r0*(r2*r1*r0*r1)^2*(r2*r1)^2*r2)^3,(r1*r2*r1*r0*r1*r2)^2*(r1*r2)^2*(r1*r2*r1*r0)^4*(r1*r0)^2,(r2*r0)^2,(r2*(r1*r2*r1*r0)^2*r2*r1)^2")#24#1728
ReflexibleManiplex([ 18, 18 ], "((r1*r0)^2*r1*r2*(r1*r0)^2*r2)^2,(r1*r0*(r1*r2)^2*r1*r0*r2)^2,r1*r2*r0*(r1*r2)^2*(r0*r1)^2*(r0*r1*r2)^2*r1*r2*r0")#24#1728
ReflexibleManiplex([ 36, 18 ], "(r1*r0)^2*(r1*r0*(r1*r2)^2)^2*(r1*r0)^10,((r1*r0)^2*r1*r2*(r1*r0)^2*r2)^2,((r1*r2)^3*r0)^2")#24#1728
ReflexibleManiplex([ 36, 36 ], "((r0*r1)^2*r2*r1*r0*r2*r1)^2,r0*r1*r2*(r0*r1*r2*r0*r1)^2*(r2*r1)^2*r2*r0*r1,(r2*r0)^2,(r2*(r1*r2*r1*r0)^2*r2*r1)^2,(r2*r1)^5*r2*(r1*r0*(r1*r2)^2*r1*r0)^3*r1")#24#1728
ReflexibleManiplex([ 36, 36 ], "(r1*r0)^13*(r1*r2)^2*r1*r0*(r1*r2)^2,((r1*r0)^2*r1*r2*(r1*r0)^2*r2)^2,(r1*r0*(r1*r2)^2*r1*r0*r2)^2,r1*r2*r0*(r1*r2)^2*(r0*r1)^2*(r0*r1*r2)^2*r1*r2*r0")#24#1728
ReflexibleManiplex([ 48, 12 ], "(r0*r2*r1)^14*r0*r1*r0*(r1*r0*r2)^4*(r1*r0)^4*r1,(r1*r0*(r2*r1)^2*r0)^2,((r1*r2)^4*r1*r0*r2*r1*r2)^2,(r2*r0)^2")#48#1728
