Size,PetrieLength
TwoOrbit3ManiplexClass2_0([ 80, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21)^2*r0*a101*r0*a21^-2, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, (r0*a101)^7*a21^-1*a101*r0*a21 ")#640#16
TwoOrbit3ManiplexClass2_0([ 10, 4 ], " r0*a21*a101*a21^-1, (r0*a21^-1*a101*r0*a21^-1)^2, (r0*a101)^5, a21^-1*a101*a21*r0*a21^2*r0*a21^-1*a101*a21*r0 ")#640#8
TwoOrbit3ManiplexClass2_0([ 40, 8 ], " r0*a21^-3*a101*a21^3, a21^8, r0*a101*r0*(a21^-1*a101)^2*r0*a21^-2, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, a21*a101*r0*a21^3*(r0*a101)^3 ")#640#8
TwoOrbit3ManiplexClass2_0([ 40, 8 ], " r0*a21^-3*a101*a21^3, a21^8, (r0*a101)^2*r0*a21^-1*a101*a21^-3, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1 ")#640#8
TwoOrbit3ManiplexClass2_0([ 20, 16 ], " r0*a101*a21^2*r0*a101*a21^-2, (r0*a101)^3*r0*a21^-1*a101*r0*a101*a21, r0*a21^-1*a101*a21^-2*a101*r0*a101*a21^-3*a101*a21^-2 ")#640#16
TwoOrbit3ManiplexClass2_0([ 20, 16 ], " r0*a101*a21^2*r0*a101*a21^-2, r0*a21^-1*(a101*r0)^2*a101*a21, a21^16 ")#640#16
TwoOrbit3ManiplexClass2_0([ 40, 8 ], " (r0*a101)^2*r0*a21^-1*a101*a21, r0*a21^-3*a101*a21^3, a21^8 ")#640#8
TwoOrbit3ManiplexClass2_0([ 10, 32 ], " r0*a21^-1*a101*r0*a101*a21, a101*(a21*r0)^2*a21^-1*r0*a21^-1, a21^32 ")#640#32
TwoOrbit3ManiplexClass2_0([ 80, 4 ], " r0*a21*a101*a21^-1, (r0*a101)^3*a21*a101*r0*a21^-1 ")#640#16
TwoOrbit3ManiplexClass2_0([ 40, 4 ], " r0*a21*a101*a21^-1, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, (r0*a101)^2*(a21^-1*a101)^2*r0*a101*a21^-2, (a101*a21)^2*r0*a101*a21*a101*r0*a101*a21*r0*a101*r0 ")#640#8
TwoOrbit3ManiplexClass2_0([ 20, 8 ], " r0*a101*a21^2*r0*a101*a21^-2, a21^8, (r0*a101)^3*r0*a21^-1*a101*r0*a101*a21 ")#640#8
TwoOrbit3ManiplexClass2_0([ 10, 8 ], " r0*(a101*a21^-1)^3*a21^-1, a21^8, (a101*r0*a101*a21^2)^2, (r0*a101)^5, a21^2*r0*a21^-1*a101*r0*a101*a21*r0*a101*r0 ")#640#4
TwoOrbit3ManiplexClass2_0([ 20, 4 ], " r0*a21*a101*a21^-1, r0*a101*a21*r0*a101*a21^-1*a101*a21*r0*a21^-1, (r0*a101)^2*(a21^-1*a101)^2*r0*a101*a21^-2, (r0*a21^-1*a101*r0*a101*a21)^2 ")#640#8
TwoOrbit3ManiplexClass2_0([ 40, 8 ], " r0*a21^-3*a101*a21^3, a21^8, r0*(a101*a21)^2*r0*a101*r0*a21^-2, (r0*a101)^3*a21*a101*r0*a21^-1 ")#640#8
TwoOrbit3ManiplexClass2_0([ 40, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, r0*a21^-1*a101*r0*a101*a21*r0*a21^-1*(a101*r0)^3*a101*a21 ")#640#4
TwoOrbit3ManiplexClass2_0([ 10, 8 ], " r0*(a101*a21)^2*r0*a21^-2, a21^8, r0*a21^-1*a101*r0*a101*a21^-2*a101*r0*a21^-1, (r0*a101)^5, r0*((a101*r0)^2*a21^-1)^2 ")#640#8
TwoOrbit3ManiplexClass2_0([ 20, 8 ], " r0*(a101*a21^-1)^3*a21^-1, r0*a21^-3*a101*a21^3, a21^8, (r0*a101)^3*r0*a21^-1*a101*r0*a101*a21 ")#640#4
TwoOrbit3ManiplexClass2_0([ 18, 18 ], " (r0*a101)^2*a21*a101*r0*a21^-1, (r0*a21^-1*a101)^2*a21^2, a21^18 ")#648#18
TwoOrbit3ManiplexClass2_0([ 18, 18 ], " r0*a101*r0*a21^-1*a101*a21, a21^-1*a101*(r0*a21)^2*a21*r0*a21^-2, a21^18 ")#648#18
TwoOrbit3ManiplexClass2_0([ 18, 6 ], " (r0*a101)^2*a21^2*r0*a101*a21^-2 ")#648#18
TwoOrbit3ManiplexClass2_0([ 54, 6 ], " (r0*a21^-1*a101)^2*a21^2, (r0*a101)^8*a21*a101*r0*a21^-1 ")#648#54
TwoOrbit3ManiplexClass2_0([ 82, 4 ], " r0*a21*a101*a21^-1, r0*(a101*a21^-1)^3*a21^-1, (r0*a101)^4*r0*a21^-1*(a101*r0)^3*a101*a21 ")#656#4
TwoOrbit3ManiplexClass2_0([ 22, 15 ], " r0*a101*r0*a21^-1*a101*a21, a21^-1*a101*a21^4*r0*a21^-3, a21^15 ")#660#30
TwoOrbit3ManiplexClass2_0([ 22, 15 ], " r0*a21^-1*a101*a21^2*a101*r0*a21^-1, r0*a21^-2*a101*r0*a101*a21^2, a21^15 ")#660#30
TwoOrbit3ManiplexClass2_0([ 56, 3 ], " r0*a21*a101*a21^-1, (r0*a101)^2*a21^-1*a101*a21*(r0*a101)^2*a21*r0*a21^-1, r0*a101*a21*(a101*r0)^3*a21^-1*r0*a101*a21*a101*r0*a21^-1 ")#672#12
