Size,IsPolytopal
RotaryManiplex([ 24, 24 ], "s1^6*s2^-6, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^-1*s2*s1^3*s2^-1*s1^2*s2*s1^-2, s2^2*s1^-2*(s2^-1*s1)^3*s2*s1^-1")#2016#false
RotaryManiplex([ 24, 24 ], "s1*s2^-1*s1*s2^2*s1^-1*s2^2*s1*s2^-2*s1^-1*s2^2*s1*s2^-1, s1^4*s2^-2*s1*(s1*s2^-1)^2*s1, s2^2*s1^3*s2^-1*s1*s2*s1^-2, s2^3*s1^2*s2^-1*s1^2*s2^2")#2016#false
RotaryManiplex([ 24, 24 ], "(s2^-1*s1^2*s2^-1)^6, s2*s1*s2^-1*s1*(s2^-2*s1^-2)^2*s2^3*s1^2*s2, s2*s1^4*s2*s1^-2, s2^3*s1^2*s2^-1*s1^2*s2^2")#2016#false
RotaryManiplex([ 24, 24 ], "(s2^-2*s1*s2^-2)^4*s1^4, s1^2*s2^2*s1*s2^-1*s1^-1*s2*s1^2*s2^-1*s1^-2*s2*s1*s2^-1*s1^-1*s2, s2^2*s1^5*s2^2*s1^-1, s2^3*s1*s2^-2*s1*s2")#2016#false
RotaryManiplex([ 24, 24 ], "s2^-1*s1^-2*s2*s1^2*s2^-1*s1^-1*s2*s1, s1^-1*s2*s1*s2^-1*s1^4*s2*s1^-4*s2^-1")#2016#false
RotaryManiplex([ 24, 24 ], "s1*s2^-2*s1^3*(s1*s2^-1)^2*s1^2, s1^2*s2^2*(s1*s2^-1)^2*s1^-2*s2^2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2*s1^7*s2*s1^-5")#2016#false
RotaryManiplex([ 24, 24 ], "s2^-2*s1*s2^-8*s1, s1^2*s2*s1^-2*(s2^-1*s1^2)^2*(s2*s1^-1)^2*s2, s1^2*s2^3*s1^-1*s2*s1*s2^-2, s2^2*s1^5*s2^2*s1^-1")#2016#false
RotaryManiplex([ 24, 24 ], "(s2^-1*s1^5*s2^-1)^3*s1^3, s1^2*s2^3*s1*s2^-2*s1^-1*s2, s2*s1^-1*s2*s1^3*s2^-1*s1^2*s2*s1^-2, s2*s1^7*s2*s1^-5")#2016#false
RotaryManiplex([ 36, 18 ], "(s1^-1*s2)^2*s2^3*s1^-1*s2^2*s1^3*s2^2, s1^6*s2^-3, s2*s1^3*s2*s1^-2*(s2^-1*s1^2)^2*(s2*s1^-1)^2*s1^-1")#2016#false
AbstractRotaryPolytope([ 21, 42 ], "(s2^-3*s1*s2^-1)^4*s1, s1^-1*s2^-1*(s2^-1*s1)^2*s1*s2^2*s1^-2*s2, s2^2*s1^5*s2*s1^-1*s2")#2016#true
