Size,IsPolytopal
RotaryManiplex([ 174, 174 ], "(s2^-2*s1*s2^-2)^34*s1^4, s2*s1^-2*s2*s1^3*s2^-1*s1^2*s2*s1^-1, s2^2*s1^5*s2^2*s1^-1, s2^3*s1*s2^-2*s1*s2")#9048#false
RotaryManiplex([ 348, 348 ], "s1^-2*s2^-1*s1^4*s2^3, s1^-2*s2*s1^3*s2^-1*s1*s2^2, s1^87*s2^-1*s1^2*(s2^-2*s1*s2^-1)^2*s1^76")#9048#false
RotaryManiplex([ 348, 348 ], "s1^-2*(s2^-1*s1)^2*s2*s1^2*s2^3, s1^94*(s2^-1*s1)^2*s2^-1*s1^75, s1^2*s2^2*s1^2*s2^-1*s1^-2*s2")#9048#false
RotaryManiplex([ 348, 348 ], "s2^-93*s1*s2^-2*s1^2*s2^-3*(s2^-2*s1)^23*s2^-3*s1, s2^-1*s1^-2*s2*s1^-2*(s2^-1*s1)^2*s2^-1*s1^-2*s2^-1, s2^2*s1^4*s2^2")#9048#false
AbstractRotaryPolytope([ 6, 15 ], "(s1*s2^-2)^2, s1*(s1*s2^-1)^2*s1^2*s2^-1*s1^-1*s2*(s1*s2^-1*s1^-2*s2*s1)^3*(s1*s2^-1*s1^-1*s2)^2*s1^2*(s2*s1^-1)^2*s1^-1*s2*s1, s2^2*s1*s2^-11*s1*s2^2")#9060#true
AbstractRotaryPolytope([ 15, 6 ], "(s1*s2^-1*s1)^2, s2*(s2*s1^-1)^2*s2^2*s1^-1*s2^-1*(s2^-1*s1*s2*s1^-1)^2*s2^-1*s1*(s2^2*s1^-1*s2)^2*s1^-1*s2*s1^-1*s2^-1*s1*(s2*s1^-1*s2^-1*s1*s2)^2*s1^-1*s2^-2*s1*s2")#9060#true
AbstractRotaryPolytope([ 10, 15 ], "(s1*s2^-2*s1^2)^2, ((s1*s2^-1)^2*s1)^2, s1*s2^2*s1^3*s2^-1*s1^-1*s2*s1^3*s2^-1*(s2^-1*s1^-1*s2*s1)^2, s2^2*s1^2*s2*s1^-1*s2^-2*s1^3*s2*s1^-2*s2^-1*s1^2*s2*s1^-2")#9060#true
AbstractRotaryPolytope([ 10, 15 ], "(s1*s2^-2*s1^2)^2, ((s1*s2^-1)^2*s1)^2, s1^2*(s1^3*s2^-1)^2*s1^-2*s2^-2*s1^-1*s2^2*s1^-1*s2")#9060#true
AbstractRotaryPolytope([ 15, 10 ], "s1^-1*s2^-1*(s1*s2^-1*s1)^2*s1*(s2*s1^-1)^2*s2^-3*s1^-1, (s1*s2^-2*s1*s2^-1)^2, (s1*s2^-1*s1^3)^2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1")#9060#true
AbstractRotaryPolytope([ 15, 10 ], "(s1*s2^-2*s1*s2^-1)^2, (s1*s2^-1*s1^3)^2, s1*(s1*s2^-1)^3*s1^-1*(s1^-1*s2*s1*s2^-1)^2*s1^-1*s2*s1, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1")#9060#true
